,,,,,
Nurse,Age,Political Spectrum,Travel Nurse Experience,What's Important,Doesn't Really Care
16,Gen Z,Conservative,Newbie,"Pay, Mgmt & leadership","DEI, Patient Accuity"
17,Gen Z,Neutral,Newbie,"Safety & Patient Ratios, Pay","DEI, Housing Options"
18,Millennial,Liberal,Veteran,"Orientation & Onboarding, Management and Leadership","Pay, Facility Location"
19,Gen Z,Neutral,Moderate,"Safety & Patient Ratios, Patient Accuity","Management & leadership, Pay"
20,Gen X,Conservative,Newbie,"Patient Accuity, Housing Options","DEI, Management & Leadership"
21,Millennial,Neutral,Veteran,"Facility Location, Housing Options","Safety & patient ratios, Pay"
22,Gen X,,Veteran,"Pay, Mgmt & leadership","Patient Accuity, Pay"
23,Gen Z,Liberal,Moderate,"Orientation & onboarding, Pay","Housing Options, DEI"
24,Gen X,Neutral,Veteran,"Facility Location, Mgmt & leadership","DEI, Patient Accuity"
25,Gen X,Conservative,Veteran,"Pay, Mgmt & leadership",Facility Location
26,Millennial,Liberal,Moderate,Safety & patient ratios ,"Orientation & Onboarding, Housing Options"
27,Gen Z,Neutral,Newbie,"Mgmt & leadership, Patient Accuity","Pay, Housing Options"
28,Gen X,Conservative,Newbie,"Housing Options, Orientation & Onboarding","Pay, Patient Accuity"
29,Gen X,Liberal,Moderate,"Pay, DEI",Patient Accuity
30,Millennial,Neutral,Veteran,"Mgmt & leadership, Safety & patient ratios","Orientation & onboarding, Housing Options"
31,Gen Z,Neutral,Moderate,"Patient Accuity, Pay","Orientation & Onboarding, Facility Location"
32,Gen X,Conservative,Veteran,"Housing Options, Safety & patient ratios ","Patient Accuity, Housing Options"
33,Millennial,Neutral,Moderate,"Pay, Orientation & onboarding","DEI, Facility Location"
34,Gen Z,Neutral,Moderate,"Mgmt & leadership, Facility Location","DEI, Orientation & Onboarding"
35,Gen X,Conservative,Moderate,Safety & patient ratios ,Patient Accuity
36,Millennial,Liberal,Moderate,"DEI, Orientation & Onboarding",Facility Location
37,Gen X,Neutral,Moderate,Safety & patient ratios ,Mgmt & leadership
38,Millennial,Neutral,Moderate,Safety & patient ratios ,Orientation & Onboarding
39,Gen X,Conservative,Newbie,"Pay, Facility Location","DEI, Patient Accuity"
40,Gen X,Liberal,Newbie,"Patient Accuity, Safety & patient ratios ","Facility Location, DEI"
41,Gen Z,Liberal,Moderate,Safety & patient ratios ,"Patient Accuity, Facility Location"
42,Millennial,Neutral,Newbie,"Pay, DEI",Safety & patient ratios 
43,Gen X,Neutral,Moderate,"Safety & patient ratios , Facility Location","Patient Accuity, Mgmt & leadership"
44,Gen X,Neutral,Moderate,"DEI, Pay","Patient Accuity, Facility Location"
45,Millennial,Conservative,Moderate,"Orientation & onboarding, Patient Accuity","Facility Location, DEI"
46,Gen Z,Liberal,Moderate,"Safety & patient ratios , Mgmt & leadership","Pay, DEI"
47,Millennial,Neutral,Newbie,"Housing Options, Safety & patient ratios ","Orientation & onboarding, Mgmt & leadership"
48,Millennial,Conservative,Moderate,"Safety & patient ratios, Pay","DEI, Facility Location"
49,Gen X,Liberal,Moderate,"Pay, Safety & patient ratios ","Housing Options, Orientaton & Onboarding"
50,Gen Z,Neutral,Newbie,"Pay, Housing Options","Mgmt & leadership, Facility Location"
,,,,,
Nurse,Age,Political Spectrum,Travel Nurse Experience,What's Important,Doesn't Really Care
1,Gen Z,Conservative,Newbie Travel Nurse 1 year of experience,"Pay, Mgmt & leadership","DEI, Patient Accuity"
2,Gen Z,Liberal,Newbie Travel Nurse 1 year of experience,"Safety & Patient Ratios, Pay","DEI, Housing Options"
3,Gen Z,Neutral,Newbie Travel Nurse 1 year of experience,"Orientation & Onboarding, Management and Leadership","Pay, Facility Location"
4,Gen Z,Conservative,Newbie Travel Nurse 1 year of experience,"Safety & Patient Ratios, Patient Accuity","Management & leadership, Pay"
5,Gen Z,Liberal,Newbie Travel Nurse 1 year of experience,"Patient Accuity, Housing Options","DEI, Management & Leadership"
6,Millennial,Neutral,Moderate Travel Nurse 2-3 years travel experience,"Facility Location, Housing Options","Safety & patient ratios, Pay"
7,Millennial,Conservative,Veteran Travel Nurse 4+ years of experience,"Pay, Mgmt & leadership","Patient Accuity, Pay"
8,Millennial,Liberal,Moderate Travel Nurse 2-3 years travel experience,"Orientation & onboarding, Pay","Housing Options, DEI"
9,Millennial,Neutral,Veteran Travel Nurse 4+ years of experience,"Facility Location, Mgmt & leadership","DEI, Patient Accuity"
10,Millennial,Conservative,Veteran Travel Nurse 4+ years of experience,"Pay, Mgmt & leadership",Facility Location
11,Gen X,Liberal,Newbie Travel Nurse 1 year of experience,Safety & patient ratios ,"Orientation & Onboarding, Housing Options"
12,Gen X,Neutral,Veteran Travel Nurse 4+ years of experience,"Mgmt & leadership, Patient Accuity","Pay, Housing Options"
13,Gen X,Conservative,Moderate Travel Nurse 2-3 years travel experience,"Housing Options, Orientation & Onboarding","Pay, Patient Accuity"
14,Gen X,Liberal,Moderate Travel Nurse 2-3 years travel experience,"Pay, DEI",Patient Accuity
15,Gen X,Neutral,Newbie Travel Nurse 1 year of experience,"Mgmt & leadership, Safety & patient ratios","Orientation & onboarding, Housing Options"
16,Gen X,Conservative,Moderate Travel Nurse 2-3 years travel experience,"Patient Accuity, Pay","Orientation & Onboarding, Facility Location"